gndr,cntry,agea,stflife,lrscale,health,hlthhmp,alcfreq,cgtsmok,slprl,happy,edulvlb,ipsucesa,iprspota,impricha,ipshabta,ipcrtiva,ipudrsta,ipmodsta,iphlppla,hinctnta
2,AT,27,10,0,1,3,2,6,1,10,313,3,1,6,1,1,2,1,1,3
2,AT,60,9,5,1,3,4,6,1,9,322,4,2,4,3,4,2,2,3,7
2,AT,55,9,3,2,3,4,1,1,8,322,4,1,4,4,3,1,1,1,8
1,AT,57,10,6,1,3,1,6,1,9,720,2,2,3,2,3,2,5,5,77
1,AT,52,7,4,2,3,5,3,1,6,720,3,3,5,4,2,2,3,2,9
1,AT,49,7,2,3,2,3,5,2,7,322,4,2,4,3,3,4,4,3,3
2,AT,41,10,6,1,3,6,4,1,10,520,2,2,1,2,1,2,3,2,77
1,AT,76,7,5,2,3,5,6,1,9,423,2,2,3,2,5,3,3,3,8
1,AT,41,8,5,2,3,6,6,2,8,710,2,2,3,2,2,1,3,2,10
2,AT,85,7,4,3,2,7,6,1,8,322,3,2,5,2,3,2,2,2,2
1,AT,21,7,6,1,3,4,6,1,7,212,3,4,3,3,2,2,1,3,2
1,AT,76,10,4,2,2,7,2,1,10,322,4,3,5,4,4,2,1,1,5
2,AT,88,5,5,3,2,7,6,3,5,212,88,88,4,88,4,3,88,88,2
2,AT,76,8,5,3,1,4,6,2,8,322,3,3,4,3,3,3,3,2,2
1,AT,33,9,88,1,3,1,6,1,9,322,3,3,4,4,5,3,5,2,77
2,AT,66,8,3,2,3,1,4,1,8,800,2,2,3,3,2,2,4,2,9
1,AT,84,8,3,4,2,2,6,3,8,322,4,3,5,5,3,3,1,2,3
2,AT,89,8,4,2,3,7,6,2,8,422,3,3,5,3,3,2,2,1,2
2,AT,33,5,3,1,3,3,3,2,7,610,3,5,4,3,3,2,4,3,4
2,AT,28,7,6,1,3,7,6,2,7,212,1,3,5,2,2,2,4,1,77
2,AT,34,6,7,2,3,4,6,2,5,610,5,4,3,1,2,1,1,3,5
1,AT,44,9,9,2,3,2,6,1,9,610,2,5,2,5,2,1,4,2,7
1,AT,51,8,5,1,3,2,6,1,7,322,3,2,3,3,4,3,3,3,77
1,AT,37,4,4,1,3,3,6,2,7,423,2,3,4,2,1,1,3,1,5
1,AT,24,8,4,2,3,7,1,1,7,322,2,2,2,1,3,3,3,3,2
2,AT,76,10,5,3,3,2,4,2,8,113,5,5,3,4,2,4,4,2,7
1,AT,69,8,7,2,3,2,6,2,9,322,2,2,2,1,1,2,2,3,5
1,AT,82,7,5,4,2,1,1,3,5,212,4,2,5,3,5,4,2,4,2
2,AT,64,9,5,1,3,4,6,1,8,322,2,2,6,1,1,3,2,1,6
2,AT,83,7,5,3,2,4,6,2,7,212,4,3,4,4,2,2,1,2,77
2,AT,25,8,7,2,3,7,1,1,8,212,5,2,5,2,3,2,3,3,2
2,AT,60,10,5,1,3,7,5,1,8,322,2,2,6,2,1,1,1,1,1
2,AT,74,5,5,3,2,3,6,1,5,113,2,3,4,2,2,2,2,1,2
2,AT,31,6,3,2,3,2,3,3,6,322,1,3,3,2,1,1,4,2,5
1,AT,44,8,3,2,3,4,6,1,9,620,3,2,4,4,2,2,4,2,6
2,AT,52,8,2,1,3,6,6,1,10,423,1,1,6,1,1,1,1,1,3
2,AT,75,8,5,2,3,7,6,1,8,322,4,2,4,3,4,1,1,2,6
1,AT,20,8,3,1,3,6,6,2,9,313,1,1,77,1,1,1,1,1,3
2,AT,36,3,3,2,2,6,6,1,3,313,2,2,6,1,2,2,3,3,88
1,AT,44,9,77,1,3,2,6,1,3,322,2,3,3,3,3,2,4,2,77
